Part,Value,Device,Package,Description,BOM,MPN,PROD_ID,VALUE
C1,0.1,CAP0603-CAP,0603-CAP,Capacitor,,,,
C2,1u,CAP0603-CAP,0603-CAP,Capacitor,,,,
C3,10u,CAP0603-CAP,0603-CAP,Capacitor,,,,
C4,0.1u,CAP0603-CAP,0603-CAP,Capacitor,,,,
C5,10nF,C-0603,C0603,Ceramic Capacitors,,,,
C6,0.1u,CAP0603-CAP,0603-CAP,Capacitor,,,,
C8,12pF,C-0603,C0603,Ceramic Capacitors,,,,
C9,0.1u,CAP0603-CAP,0603-CAP,Capacitor,,,,
C12,12pF,C-0603,C0603,Ceramic Capacitors,,,,
CHG,RED,LED0603,0603-LED,,,,,
D1,MBR120,DIODESOD-123,SOD-123,Diode,,,,
IC3,MCP1703CB,MCP1703CB,SOT23,250 mA,,,,
J1,2P-2.0-90D-SMD,CONN-HEADER-SMD-PH-SIDE-(2P-2.0MM),HW2-SMD-2.0-90D,320110026,,,,2P-2.0-90D-SMD
J2,10118193-0001LF,MICRO-USB-SMD-B-(10118193-0001LF),MICRO-USB5+6P-SMD-0.65-B,320010003,,10118193-0001LF,,10118193-0001LF
MBR0001,MBR120,DIODESOD-123,SOD-123,Diode,,,,
R1,3.3M,R-US_R0603,R0603,RESISTOR,,,,
R2,1K,RESISTOR0603-RES,0603-RES,Resistor,,,,
R3,10K,RESISTOR0603-RES,0603-RES,Resistor,,,,
R4,1M,R-US_R0603,R0603,RESISTOR,,,,
R5,1K,RESISTOR0603-RES,0603-RES,Resistor,,,,
R6,10K,RESISTOR0603-RES,0603-RES,Resistor,,,,
R7,1K,R-0603,R0603,,,,,
R8,1K,R-0603,R0603,,,,,
RST,RST,SPST_TACT-KMR2,KMR2,SMT 6mm switch,,,,
SH1,M20,M20,1X20,"1x20 .1"" header",,,,
SH2,M20,M20,1X20,"1x20 .1"" header",,,,
SJ1,,SOLDERJUMPER,SOLDERJUMPER_ARROW_NOPASTE,SMD Solder JUMPER,EXCLUDE,,,
SJ2,,SOLDERJUMPER,SOLDERJUMPER_ARROW_NOPASTE,SMD Solder JUMPER,EXCLUDE,,,
SJ3,,SOLDERJUMPER,SOLDERJUMPER_ARROW_NOPASTE,SMD Solder JUMPER,EXCLUDE,,,
U$1,RFM12B_ANTENNA,RFM12B_ANTENNA,RFM12B-ANTENNA,,,,,
U$2,FIDUCIAL,FIDUCIAL,FIDUCIAL_1MM,For use by pick and place machines to calibrate the vision/machine,,,,
U$4,ATMEGA644/1284TQFP44,ATMEGA644/1284TQFP44,TQFP44,,,,,
U$6,LED0603,LED0603,0603-LED,,,,,
U$7,FIDUCIAL,FIDUCIAL,FIDUCIAL_1MM,For use by pick and place machines to calibrate the vision/machine,,,,
U$8,LORA-RA02,LORA-RA-02-433MHZ,LORA-RA2-SMD,433 MHz Lora Ra-02 Radio Transceiver Module based on SX1276 chip.,,,,
U$9,CH340G,CH340G,SOIC16,,,,,
U1,MCP73831,MCP73831,SOT23-5,Miniature single cell,,,,
W25X40CLSNIG-ND,AT25F512BWIDE_5.3MM,AT25F512BWIDE_5.3MM,SO08WIDE,4-Mbit SPI flash memory,,,,
X1,16 MHz,RESONATORSMD,RESONATOR-SMD,Resonator,,,,
X2,,ANTENNA_U.FL,U.FL,U.FL Antenna Connector,,,,
X4,12MHz,CRYSTAL'5032',2P-SMD-5X3.2,CRYSTAL,,,,
